site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
caas-2node,mpi,2000000,8,1,cyclic,1024,1,0,0.026184,18650
caas-2node,mpi,2000000,8,1,cyclic,1024,1,1,0.026126,18640
caas-2node,mpi,2000000,8,1,cyclic,1024,1,2,0.026185,18674
caas-2node,mpi,2000000,8,1,cyclic,1024,1,3,0.026123,18519
caas-2node,mpi,2000000,8,1,cyclic,1024,1,4,0.026220,18612
caas-2node,mpi,2000000,8,1,cyclic,1024,1,5,0.039389,18660
caas-2node,mpi,2000000,8,1,cyclic,1024,1,6,0.026126,18581
caas-2node,mpi,2000000,8,1,cyclic,1024,1,7,0.040078,18597
caas-2node,mpi,2000000,8,1,cyclic,1024,2,0,0.026336,18650
caas-2node,mpi,2000000,8,1,cyclic,1024,2,1,0.026342,18640
caas-2node,mpi,2000000,8,1,cyclic,1024,2,2,0.026440,18674
caas-2node,mpi,2000000,8,1,cyclic,1024,2,3,0.026254,18519
caas-2node,mpi,2000000,8,1,cyclic,1024,2,4,0.026673,18612
caas-2node,mpi,2000000,8,1,cyclic,1024,2,5,0.026908,18660
caas-2node,mpi,2000000,8,1,cyclic,1024,2,6,0.026683,18581
caas-2node,mpi,2000000,8,1,cyclic,1024,2,7,0.026713,18597
caas-2node,mpi,2000000,8,1,cyclic,1024,3,0,0.026191,18650
caas-2node,mpi,2000000,8,1,cyclic,1024,3,1,0.026159,18640
caas-2node,mpi,2000000,8,1,cyclic,1024,3,2,0.026212,18674
caas-2node,mpi,2000000,8,1,cyclic,1024,3,3,0.026160,18519
caas-2node,mpi,2000000,8,1,cyclic,1024,3,4,0.026333,18612
caas-2node,mpi,2000000,8,1,cyclic,1024,3,5,0.026368,18660
caas-2node,mpi,2000000,8,1,cyclic,1024,3,6,0.051295,18581
caas-2node,mpi,2000000,8,1,cyclic,1024,3,7,0.026278,18597
caas-2node,mpi,2000000,8,1,blockcyclic,1024,1,0,0.026166,18771
caas-2node,mpi,2000000,8,1,blockcyclic,1024,1,1,0.026012,18557
caas-2node,mpi,2000000,8,1,blockcyclic,1024,1,2,0.026291,18669
caas-2node,mpi,2000000,8,1,blockcyclic,1024,1,3,0.026390,18541
caas-2node,mpi,2000000,8,1,blockcyclic,1024,1,4,0.026499,18652
caas-2node,mpi,2000000,8,1,blockcyclic,1024,1,5,0.026758,18504
caas-2node,mpi,2000000,8,1,blockcyclic,1024,1,6,0.026327,18646
caas-2node,mpi,2000000,8,1,blockcyclic,1024,1,7,0.026882,18593
caas-2node,mpi,2000000,8,1,blockcyclic,1024,2,0,0.026754,18771
caas-2node,mpi,2000000,8,1,blockcyclic,1024,2,1,0.026603,18557
caas-2node,mpi,2000000,8,1,blockcyclic,1024,2,2,0.026289,18669
caas-2node,mpi,2000000,8,1,blockcyclic,1024,2,3,0.026226,18541
caas-2node,mpi,2000000,8,1,blockcyclic,1024,2,4,0.027465,18652
caas-2node,mpi,2000000,8,1,blockcyclic,1024,2,5,0.027400,18504
caas-2node,mpi,2000000,8,1,blockcyclic,1024,2,6,0.027469,18646
caas-2node,mpi,2000000,8,1,blockcyclic,1024,2,7,0.027460,18593
caas-2node,mpi,2000000,8,1,blockcyclic,1024,3,0,0.026468,18771
caas-2node,mpi,2000000,8,1,blockcyclic,1024,3,1,0.026121,18557
caas-2node,mpi,2000000,8,1,blockcyclic,1024,3,2,0.026112,18669
caas-2node,mpi,2000000,8,1,blockcyclic,1024,3,3,0.026096,18541
caas-2node,mpi,2000000,8,1,blockcyclic,1024,3,4,0.026188,18652
caas-2node,mpi,2000000,8,1,blockcyclic,1024,3,5,0.026207,18504
caas-2node,mpi,2000000,8,1,blockcyclic,1024,3,6,0.052041,18646
caas-2node,mpi,2000000,8,1,blockcyclic,1024,3,7,0.026239,18593
caas-2node,mpi,2000000,8,1,wblock,1024,1,0,0.030346,41538
caas-2node,mpi,2000000,8,1,wblock,1024,1,1,0.027986,21945
caas-2node,mpi,2000000,8,1,wblock,1024,1,2,0.026950,17922
caas-2node,mpi,2000000,8,1,wblock,1024,1,3,0.026188,15772
caas-2node,mpi,2000000,8,1,wblock,1024,1,4,0.025650,14307
caas-2node,mpi,2000000,8,1,wblock,1024,1,5,0.025909,13223
caas-2node,mpi,2000000,8,1,wblock,1024,1,6,0.025449,12436
caas-2node,mpi,2000000,8,1,wblock,1024,1,7,0.025628,11790
caas-2node,mpi,2000000,8,1,wblock,1024,2,0,0.030279,41538
caas-2node,mpi,2000000,8,1,wblock,1024,2,1,0.027395,21945
caas-2node,mpi,2000000,8,1,wblock,1024,2,2,0.026305,17922
caas-2node,mpi,2000000,8,1,wblock,1024,2,3,0.025733,15772
caas-2node,mpi,2000000,8,1,wblock,1024,2,4,0.025828,14307
caas-2node,mpi,2000000,8,1,wblock,1024,2,5,0.025348,13223
caas-2node,mpi,2000000,8,1,wblock,1024,2,6,0.024837,12436
caas-2node,mpi,2000000,8,1,wblock,1024,2,7,0.031155,11790
caas-2node,mpi,2000000,8,1,wblock,1024,3,0,0.030326,41538
caas-2node,mpi,2000000,8,1,wblock,1024,3,1,0.027228,21945
caas-2node,mpi,2000000,8,1,wblock,1024,3,2,0.026286,17922
caas-2node,mpi,2000000,8,1,wblock,1024,3,3,0.025747,15772
caas-2node,mpi,2000000,8,1,wblock,1024,3,4,0.025353,14307
caas-2node,mpi,2000000,8,1,wblock,1024,3,5,0.025090,13223
caas-2node,mpi,2000000,8,1,wblock,1024,3,6,0.024740,12436
caas-2node,mpi,2000000,8,1,wblock,1024,3,7,0.024578,11790
caas-2node,mpi,4000000,8,1,block,1024,1,0,0.030280,41538
caas-2node,mpi,4000000,8,1,block,1024,1,1,0.048970,36960
caas-2node,mpi,4000000,8,1,block,1024,1,2,0.060353,35657
caas-2node,mpi,4000000,8,1,block,1024,1,3,0.069220,34778
caas-2node,mpi,4000000,8,1,block,1024,1,4,0.076779,34139
caas-2node,mpi,4000000,8,1,block,1024,1,5,0.083349,33744
caas-2node,mpi,4000000,8,1,block,1024,1,6,0.089185,33334
caas-2node,mpi,4000000,8,1,block,1024,1,7,0.094634,32996
caas-2node,mpi,4000000,8,1,block,1024,2,0,0.030267,41538
caas-2node,mpi,4000000,8,1,block,1024,2,1,0.049050,36960
caas-2node,mpi,4000000,8,1,block,1024,2,2,0.060356,35657
caas-2node,mpi,4000000,8,1,block,1024,2,3,0.069193,34778
caas-2node,mpi,4000000,8,1,block,1024,2,4,0.076892,34139
caas-2node,mpi,4000000,8,1,block,1024,2,5,0.083469,33744
caas-2node,mpi,4000000,8,1,block,1024,2,6,0.089238,33334
caas-2node,mpi,4000000,8,1,block,1024,2,7,0.094687,32996
caas-2node,mpi,4000000,8,1,block,1024,3,0,0.030240,41538
caas-2node,mpi,4000000,8,1,block,1024,3,1,0.049001,36960
caas-2node,mpi,4000000,8,1,block,1024,3,2,0.060387,35657
caas-2node,mpi,4000000,8,1,block,1024,3,3,0.069234,34778
caas-2node,mpi,4000000,8,1,block,1024,3,4,0.076894,34139
caas-2node,mpi,4000000,8,1,block,1024,3,5,0.083372,33744
