site,impl,n,procs,threads,dist,chunk,sched,sched_chunk,run,total,bcast,comp_max,comp_min,comp_avg,gather,merge,write,count,wall
caas-2node,mpi,20000000,8,1,wblock,1024,-,0,1,0.802302,0.000020,0.755105,0.638595,0.672014,0.014661,0.000000,0.032516,1270607,1.399734
caas-2node,mpi,20000000,8,1,wblock,1024,-,0,2,0.799845,0.000018,0.754963,0.639375,0.672217,0.013864,0.000000,0.031000,1270607,1.403381
caas-2node,mpi,20000000,8,1,wblock,1024,-,0,3,0.804778,0.000016,0.755148,0.637683,0.671755,0.012544,0.000000,0.037069,1270607,1.416598
caas-2node,serial_sieve,500000000,1,1,-,0,-,0,1,1.517925,,0.769240,,,,,,26355867,1.517925
caas-2node,mpi_sieve,500000000,8,1,block,1024,-,0,1,0.975021,0.000021,0.102376,0.093605,0.098453,0.172069,0.000001,0.707696,26355867,1.568053
caas-2node,serial_sieve,500000000,1,1,-,0,-,0,2,1.508429,,0.770934,,,,,,26355867,1.508429
caas-2node,mpi_sieve,500000000,8,1,block,1024,-,0,2,0.983945,0.000016,0.106691,0.092433,0.099993,0.171257,0.000001,0.720238,26355867,1.599153
caas-2node,serial_sieve,500000000,1,1,-,0,-,0,3,1.496242,,0.768616,,,,,,26355867,1.496242
caas-2node,mpi_sieve,500000000,8,1,block,1024,-,0,3,1.000384,0.000015,0.118845,0.092279,0.102567,0.196034,0.000000,0.712055,26355867,1.642672
caas-2node,hybrid,1000000,4,4,blockcyclic,1024,static,64,1,0.026413,0.000034,0.012257,0.012132,0.012181,0.012193,0.000594,0.001460,78498,0.472046
caas-2node,hybrid,1000000,4,4,blockcyclic,1024,static,64,2,0.027319,0.000036,0.012236,0.012093,0.012186,0.011925,0.000651,0.002484,78498,0.448446
caas-2node,hybrid,1000000,4,4,blockcyclic,1024,static,64,3,0.027232,0.000034,0.012400,0.012028,0.012185,0.011769,0.000910,0.002119,78498,0.452292
