site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,1,2,0.305377,3314265
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,1,3,0.286537,3254911
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,1,4,0.301492,3212954
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,1,5,0.295503,3179482
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,1,6,0.284283,3153228
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,1,7,0.307072,3130885
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,1,0,0.640461,3296072
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,1,1,0.640436,3294233
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,1,2,0.649187,3292513
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,1,3,0.621283,3294073
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,1,4,0.660188,3294503
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,1,5,0.631698,3294966
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,1,6,0.623411,3294921
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,1,7,0.639396,3294586
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,1,0,0.690658,7110142
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,1,1,0.412820,3886385
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,1,2,0.352919,3199904
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,1,3,0.348237,2822625
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,1,4,0.285645,2571346
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,1,5,0.242872,2388489
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,1,6,0.243115,2246020
ryzen7535hs,mpi_sieve,500000000,8,1,wblock,1024,1,7,0.220124,2130956
ryzen7535hs,mpi_sieve,500000000,1,1,block,1024,2,0,1.238142,26355867
ryzen7535hs,mpi_sieve,500000000,2,1,block,1024,2,0,0.873928,13679318
ryzen7535hs,mpi_sieve,500000000,2,1,block,1024,2,1,0.872664,12676549
ryzen7535hs,mpi_sieve,500000000,3,1,block,1024,2,0,0.622846,9327002
ryzen7535hs,mpi_sieve,500000000,3,1,block,1024,2,1,0.615605,8628277
ryzen7535hs,mpi_sieve,500000000,3,1,block,1024,2,2,0.669372,8400588
ryzen7535hs,mpi_sieve,500000000,4,1,block,1024,2,0,0.453581,7110142
ryzen7535hs,mpi_sieve,500000000,4,1,block,1024,2,1,0.415587,6569176
ryzen7535hs,mpi_sieve,500000000,4,1,block,1024,2,2,0.389052,6392436
ryzen7535hs,mpi_sieve,500000000,4,1,block,1024,2,3,0.486646,6284113
ryzen7535hs,mpi_sieve,500000000,5,1,block,1024,2,0,0.353815,5761455
ryzen7535hs,mpi_sieve,500000000,5,1,block,1024,2,1,0.347873,5317482
ryzen7535hs,mpi_sieve,500000000,5,1,block,1024,2,2,0.384803,5173388
ryzen7535hs,mpi_sieve,500000000,5,1,block,1024,2,3,0.378018,5084001
ryzen7535hs,mpi_sieve,500000000,5,1,block,1024,2,4,0.361495,5019541
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,2,0,0.283129,4852499
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,2,1,0.291073,4474503
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,2,2,0.280424,4352316
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,2,3,0.288310,4275961
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,2,4,0.288997,4221564
